slide_id,水用量（kg/m3）,水泥矿物组分_C3S（%）,水泥矿物组分_C2S（%）,水泥矿物组分_C3A（%）,水泥矿物组分_C4AF（%）,胶砂抗压_7d（MPa）,胶砂抗压_28d（MPa）,胶砂抗折3d（MPa）,胶砂抗折7d（MPa）,胶砂抗折_28d（MPa）,水化热_1d（J/g）,水化热_3d（J/g）,水化热_7d（J/g）,水泥用量（kg/m3）,FA化学组分_SiO2（%）,FA化学组分_Al2O3（%）,FA化学组分_Fe2O3（%）,FA化学组分_CaO（%）,粉煤灰用量（kg/m3）,砂表观密度（kg/m3）,砂用量（kg/m3）,石1坚固性（%）,石1压碎指标（%）,石1用量（kg/m3）,石2坚固性（%）,石2压碎指标（%）,石2用量（kg/m3）,石3坚固性（%）,石3压碎指标（%）,石3用量（kg/m3）,外加剂1用量（%）,外加剂2用量（%）,28d抗压强度
1,77,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,52,42.23,29.18,14.08333333,3.703333333,78,2650,702,3,6.58,457.8,1.3997,4.865,610.4,1.6428,5.286,457.8,0.3,0.01,10.4
2,78,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,56,42.23,29.18,14.08333333,3.703333333,84,2650,677,3,6.58,457.8,1.3997,4.865,610.4,1.6428,5.286,457.8,0.3,0.01,11.1
3,78,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,60,42.23,29.18,14.08333333,3.703333333,90,2650,650,3,6.58,462,1.3997,4.865,616,1.4682,5.286,462,0.3,0.01,12.2
4,78,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,68,42.23,29.18,14.08333333,3.703333333,102,2650,622,3,6.58,465,1.3997,4.865,620,1.4383,5.286,465,0.3,0.01,16.9
5,76,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,82,42.23,29.18,14.08333333,3.703333333,68,2650,655,3,6.58,466.8,1.3997,4.865,622.4,1.4383,5.286,466.8,0.3,0.01,16.9
6,75,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,94,42.23,29.18,14.08333333,3.703333333,76,2650,628,3,6.58,469.2,1.3997,4.865,625.6,1.4383,5.286,469.2,0.3,0.01,23.6
7,95,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,169,42.23,29.18,14.08333333,3.703333333,42,2650,524,3,6.58,471.9,1.3997,4.865,629.2,1.4383,5.286,471.9,0.2,0.004,28.1
8,95,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,190,42.23,29.18,14.08333333,3.703333333,48,2650,497,3,6.58,482.4,1.3997,4.865,643.2,1.4385,5.286,482.4,0.2,0.004,36.9
9,93,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,207,0,0,0,0,0,2650,532,3,6.58,483,1.3997,4.865,644,1.4385,5.286,483,0.2,0.004,27.3
10,92,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,230,0,0,0,0,0,2650,506,3,6.58,489,1.3997,4.865,652,1.4385,5.286,489,0.2,0.004,34.2
11,93,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,130,42.23,29.18,14.08333333,3.703333333,56,2650,481,3,6.58,314.4,1.3997,4.865,209.6,1.3708,5.074,524,0.25,0.0055,26
12,83,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,116,42.23,29.18,14.08333333,3.703333333,50,2650,492,3,6.58,505.2,1.3997,4.865,336.8,0.8473,4.703,842,0.5,0.0055,20
13,95,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,121,42.23,29.18,14.08333333,3.703333333,52,2650,504,3,6.58,489.6,1.3997,4.865,326.4,0.8402,4.787,816,0.25,0.0055,21.1
14,93,52.62,21.19,3.91,17.54,26.3,52.8,4,5.16,7.975,144,193.5,244.5,149,42.23,29.18,14.08333333,3.703333333,37,2650,482,3,6.58,495.3,1.3997,4.865,330.2,0.8402,4.703,825.5,0.25,0.0055,21.7
15,95,52.62,21.19,3.91,17.54,26.3,52.8,4,5.16,7.975,144,193.5,244.5,138,42.23,29.18,14.08333333,3.703333333,35,2650,505,3,6.58,490.5,1.3997,4.865,327,0.8402,4.787,817.5,0.25,0.0055,20.2
