slide_id,水用量（kg/m3）,水泥矿物组分_C3S（%）,水泥矿物组分_C2S（%）,水泥矿物组分_C3A（%）,水泥矿物组分_C4AF（%）,胶砂抗压_7d（MPa）,胶砂抗压_28d（MPa）,胶砂抗折3d（MPa）,胶砂抗折7d（MPa）,胶砂抗折_28d（MPa）,水化热_1d（J/g）,水化热_3d（J/g）,水化热_7d（J/g）,水泥用量（kg/m3）,FA化学组分_SiO2（%）,FA化学组分_Al2O3（%）,FA化学组分_Fe2O3（%）,FA化学组分_CaO（%）,粉煤灰用量（kg/m3）,砂表观密度（kg/m3）,砂用量（kg/m3）,石1坚固性（%）,石1压碎指标（%）,石1用量（kg/m3）,石2坚固性（%）,石2压碎指标（%）,石2用量（kg/m3）,石3坚固性（%）,石3压碎指标（%）,石3用量（kg/m3）,外加剂1用量（%）,外加剂2用量（%）,28d抗压强度
1,77.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,52.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,78.0,2650,702.0,0.03,0.0658,457.8,0.013996999999999999,0.048650000000000006,610.4,0.016428,0.05286,457.8,0.003,0.0001,10.4
2,78.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,56.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,84.0,2650,677.0,0.03,0.0658,457.8,0.013996999999999999,0.048650000000000006,610.4,0.016428,0.05286,457.8,0.003,0.0001,11.1
3,78.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,60.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,90.0,2650,650.0,0.03,0.0658,462.0,0.013996999999999999,0.048650000000000006,616.0,0.014682,0.05286,462.0,0.003,0.0001,12.2
4,78.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,68.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,102.0,2650,622.0,0.03,0.0658,465.0,0.013996999999999999,0.048650000000000006,620.0,0.014383,0.05286,465.0,0.003,0.0001,16.9
5,76.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,82.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,68.0,2650,655.0,0.03,0.0658,466.8,0.013996999999999999,0.048650000000000006,622.4,0.014383,0.05286,466.8,0.003,0.0001,16.9
6,75.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,94.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,76.0,2650,628.0,0.03,0.0658,469.2,0.013996999999999999,0.048650000000000006,625.6,0.014383,0.05286,469.2,0.003,0.0001,23.6
7,95.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,169.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,42.0,2650,524.0,0.03,0.0658,471.9,0.013996999999999999,0.048650000000000006,629.2,0.014383,0.05286,471.9,0.002,4e-05,28.1
8,95.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,190.0,0.42229999999999995,0.2918,0.1408333333,0.03703333333,48.0,2650,497.0,0.03,0.0658,482.4,0.013996999999999999,0.048650000000000006,643.2,0.014384999999999998,0.05286,482.4,0.002,4e-05,36.9
9,93.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,207.0,0.0,0.0,0.0,0.0,0.0,2650,532.0,0.03,0.0658,483.0,0.013996999999999999,0.048650000000000006,644.0,0.014384999999999998,0.05286,483.0,0.002,4e-05,27.3
10,92.0,0.5262,0.2119,0.0391,0.1754,41.23333333,58.8,5.853333333,6.97,8.63,199.0,244.0,273.0,230.0,0.0,0.0,0.0,0.0,0.0,2650,506.0,0.03,0.0658,489.0,0.013996999999999999,0.048650000000000006,652.0,0.014384999999999998,0.05286,489.0,0.002,4e-05,34.2
